DataYear,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Latitude,Longitude,City,State,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),SiteEnergyUse(kBtu)_log1p,PropertyGFATotal_log1p
2016,NonResidential,Mixed Use Property,1926,1.0,2,52549,52549,0,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,Restaurant,23500.0,Office,5459.0,47.60886,-122.33744,Seattle,WA,,15026196.0,16.525305702433577,10.869520376305095
2016,NonResidential,Hotel,1930,1.0,20,98634,88591,10043,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,47.61233,-122.33432,Seattle,WA,,4841347.5,15.392703855589149,11.49918144717797
2016,NonResidential,Hotel,1982,1.0,34,994212,847518,146694,"Hotel, Parking, Swimming Pool",Hotel,994212.0,Parking,117668.0,Swimming Pool,0.0,47.61087,-122.33339,Seattle,WA,,80469216.0,18.20338527174069,13.809706748397092
2016,NonResidential,Hotel,1985,1.0,7,71150,71150,0,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,Parking,13730.0,Retail Store,9604.0,47.60997,-122.34138,Seattle,WA,,5348309.0,15.492291181118643,11.172559658233004
2016,NonResidential,Hotel,1908,1.0,7,122810,122810,0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,47.61155,-122.34114,Seattle,WA,,5401277.5,15.502146242770712,11.718401867230671
2016,NonResidential,Hotel,1959,1.0,5,113173,70627,42546,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,,,47.61986,-122.34413,Seattle,WA,,5284343.5,15.480259139319724,11.636681736391475
2016,NonResidential,Hotel,2000,1.0,7,150453,115718,34735,Hotel,Hotel,107547.0,Restaurant,3000.0,,,47.62001,-122.34274,Seattle,WA,2014,6715187.0,15.71988238456916,11.921412668610715
2016,NonResidential,Hotel,1997,1.0,6,116300,88100,28200,Hotel,Hotel,88490.0,Parking,28300.0,,,47.62025,-122.34314,Seattle,WA,,5827595.5,15.578115209171504,11.663936936922068
2016,NonResidential,Hotel,1998,1.0,6,155602,118858,36744,Hotel,Hotel,155602.0,,,,,47.62023,-122.35951,Seattle,WA,,6836900.0,15.737845116755992,11.955063170746223
2016,NonResidential,K-12 School,1911,1.0,3,56072,56072,0,K-12 School,K-12 School,56072.0,,,,,47.63442,-122.30793,Seattle,WA,,3234787.75,14.989474182393874,10.934409692234288
2016,NonResidential,Hotel,1999,1.0,4,122942,78051,44891,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,,,47.62519,-122.34456,Seattle,WA,,5337334.0,15.490237022692243,11.719476112310662
2016,NonResidential,Small- and Mid-Sized Office,1962,1.0,2,54984,54984,0,Office,Office,54984.0,,,,,47.60823,-122.30956,Seattle,WA,,3375211.0,15.031968695130814,10.914815699745034
